rep,batch_size,pool,n_witnesses,total_updates,time
1,100,Sapling,1,121911324.0,13288.96
1,100,Sapling,10,121911324.0,13798.0
1,100,Sapling,100,121911324.0,14196.420000000002
1,100,Orchard,1,121900891.0,23064.42
1,100,Orchard,10,121900891.0,23437.039999999994
1,100,Orchard,100,121900891.0,24801.600000000006
1,100,Both,1,121941925.0,35073.779999999984
1,100,Both,10,121941925.0,35502.120000000024
1,100,Both,100,121941925.0,37528.34
1,1000,Sapling,1,121911324.0,14043.5
1,1000,Sapling,10,121911324.0,13973.440000000002
1,1000,Sapling,100,121911324.0,14862.779999999999
1,1000,Orchard,1,121900891.0,22530.79999999999
1,1000,Orchard,10,121900891.0,22801.640000000014
1,1000,Orchard,100,121900891.0,23140.140000000014
1,1000,Both,1,121941925.0,32830.73999999999
1,1000,Both,10,121941925.0,32906.76000000001
1,1000,Both,100,121941925.0,33746.419999999984
1,10000,Sapling,1,121911324.0,7603.280000000028
1,10000,Sapling,10,121911324.0,6684.799999999988
1,10000,Sapling,100,121911324.0,7164.580000000016
1,10000,Orchard,1,121900891.0,10476.179999999993
1,10000,Orchard,10,121900891.0,11806.059999999998
1,10000,Orchard,100,121900891.0,12083.820000000007
1,10000,Both,1,121941925.0,14943.599999999977
1,10000,Both,10,121941925.0,15841.880000000005
1,10000,Both,100,121941925.0,15951.339999999967
2,100,Sapling,1,121911324.0,18923.76000000001
2,100,Sapling,10,121911324.0,20518.839999999967
2,100,Sapling,100,121911324.0,20424.46000000008
2,100,Orchard,1,121900891.0,28719.81999999995
2,100,Orchard,10,121900891.0,29319.320000000065
2,100,Orchard,100,121900891.0,30525.459999999963
2,100,Both,1,121941925.0,40602.68000000005
2,100,Both,10,121941925.0,41388.580000000075
2,100,Both,100,121941925.0,43383.97999999998
2,1000,Sapling,1,121911324.0,16490.219999999972
2,1000,Sapling,10,121911324.0,15767.70000000007
2,1000,Sapling,100,121911324.0,15353.779999999912
2,1000,Orchard,1,121900891.0,23370.859999999986
2,1000,Orchard,10,121900891.0,23494.96000000008
2,1000,Orchard,100,121900891.0,24215.599999999977
2,1000,Both,1,121941925.0,33940.140000000014
2,1000,Both,10,121941925.0,34639.02000000002
2,1000,Both,100,121941925.0,35296.0199999999
2,10000,Sapling,1,121911324.0,14065.040000000037
2,10000,Sapling,10,121911324.0,12236.05999999994
2,10000,Sapling,100,121911324.0,9922.280000000028
2,10000,Orchard,1,121900891.0,11024.320000000065
2,10000,Orchard,10,121900891.0,12138.699999999953
2,10000,Orchard,100,121900891.0,12982.939999999944
2,10000,Both,1,121941925.0,15621.419999999925
2,10000,Both,10,121941925.0,15682.240000000224
2,10000,Both,100,121941925.0,16585.199999999953
3,100,Sapling,1,121911324.0,24357.780000000028
3,100,Sapling,10,121911324.0,25205.279999999795
3,100,Sapling,100,121911324.0,26516.64000000013
3,100,Orchard,1,121900891.0,34453.52000000002
3,100,Orchard,10,121900891.0,35403.78000000003
3,100,Orchard,100,121900891.0,36377.55999999982
3,100,Both,1,121941925.0,46984.18000000017
3,100,Both,10,121941925.0,47800.76000000001
3,100,Both,100,121941925.0,49161.33999999985
3,1000,Sapling,1,121911324.0,17428.580000000075
3,1000,Sapling,10,121911324.0,16962.419999999925
3,1000,Sapling,100,121911324.0,17586.860000000102
3,1000,Orchard,1,121900891.0,25076.060000000056
3,1000,Orchard,10,121900891.0,25214.76000000001
3,1000,Orchard,100,121900891.0,26061.899999999907
3,1000,Both,1,121941925.0,35811.939999999944
3,1000,Both,10,121941925.0,35928.21999999997
3,1000,Both,100,121941925.0,36780.700000000186
3,10000,Sapling,1,121911324.0,9635.940000000177
3,10000,Sapling,10,121911324.0,9699.179999999935
3,10000,Sapling,100,121911324.0,9757.179999999935
3,10000,Orchard,1,121900891.0,14457.719999999972
3,10000,Orchard,10,121900891.0,13207.660000000149
3,10000,Orchard,100,121900891.0,13781.0
3,10000,Both,1,121941925.0,16036.899999999907
3,10000,Both,10,121941925.0,17229.800000000047
3,10000,Both,100,121941925.0,18084.780000000028
