rep,batch_size,pool,total_decryptions,time
1,100,Sapling,41034.0,13411.9
1,100,Orchard,29828.0,10761.820000000002
1,100,Both,70862.0,17235.079999999998
1,1000,Sapling,41034.0,10195.779999999999
1,1000,Orchard,29828.0,7460.68
1,1000,Both,70862.0,15075.46
1,10000,Sapling,41034.0,10006.839999999997
1,10000,Orchard,29828.0,6642.259999999995
1,10000,Both,70862.0,14465.36
2,100,Sapling,41034.0,14007.300000000003
2,100,Orchard,29828.0,10582.699999999997
2,100,Both,70862.0,20339.199999999997
2,1000,Sapling,41034.0,10958.200000000012
2,1000,Orchard,29828.0,7818.139999999985
2,1000,Both,70862.0,14382.220000000001
2,10000,Sapling,41034.0,9991.660000000003
2,10000,Orchard,29828.0,7442.0199999999895
2,10000,Both,70862.0,13935.339999999997
3,100,Sapling,41034.0,15685.279999999999
3,100,Orchard,29828.0,12495.700000000012
3,100,Both,70862.0,23318.580000000016
3,1000,Sapling,41034.0,11241.98000000004
3,1000,Orchard,29828.0,7953.619999999995
3,1000,Both,70862.0,15082.599999999977
3,10000,Sapling,41034.0,10195.479999999981
3,10000,Orchard,29828.0,7255.400000000023
3,10000,Both,70862.0,14275.299999999988
